libor;overnight
2.29625;2.195
2.31425;2.205
2.336;2.219
2.3165;2.202
2.32288;2.265
2.38575;2.25
2.3775;2.231
2.36263;2.238
2.34338;2.205
2.313;2.187
2.30375;2.228
2.32488;2.227
2.32488;2.22
2.32275;2.245
2.34575;2.232
2.33988;2.221
2.3375;2.214
2.3205;2.203
2.29875;2.18
2.29325;2.16
2.29425;2.189
2.29688;2.1883
2.27788;2.159
2.26688;2.19
2.32575;2.1685
2.26013;2.149
2.25175;2.141
2.2575;2.146
2.26;2.158
2.27363;2.17
2.26388;2.16
2.26038;2.176
2.263;2.171
2.26388;2.1966
2.30963;2.2194
2.31088;2.2
2.31563;2.2364
2.343;2.226
2.34125;2.203
2.3275;2.2
2.32388;2.21
2.33363;2.263
2.36263;2.235
2.35888;2.21
2.34875;2.208
2.33825;2.213
2.3525;2.21
2.36025;2.2
2.35388;2.2054
2.31563;2.2106
2.32263;2.205
2.31375;2.2036
2.3245;2.19614
2.32925;2.174
2.29325;2.18
2.28413;2.175
2.29688;2.176
2.28788;2.171
2.30688;2.1901
2.307;2.1782
2.2865;2.1701
2.28588;2.171
2.2875;2.175
2.3125;2.183
2.30188;2.162
2.28525;2.171
2.28725;2.185
2.28313;2.18
2.315;2.185
2.31375;2.185
2.30363;2.184
2.315;2.185
2.29888;2.18
2.28238;2.161
2.28013;2.175
2.28775;2.175
2.29813;2.177
2.30063;2.181
2.31313;2.176
2.31;2.188
2.33397;2.194
2.32263;2.2
2.33013;2.2
2.33688;2.2
2.34013;2.199
2.33313;2.2
2.34175;2.198
2.33525;2.2
2.33513;2.195
2.31975;2.177
2.291;2.163
2.28438;2.165
2.28238;2.174
2.30575;2.179
2.30513;2.166
2.3085;2.176
2.306;2.168
2.30406;2.18
2.33;2.198
2.33988;2.203
2.35763;2.226
2.35913;2.218
2.395;2.242
2.383;2.238
2.39131;2.238
2.38163;2.261
2.35863;2.235
2.38163;2.229
2.35863;2.21
2.3325;2.218
2.32025;2.2
2.32775;2.221
2.318;2.186
